NOM,LAT,LNG,WKT
"Celtis australis","41,5454486746593","2,43563580576138","POINT (2.43563580576138 41.5454486746593)"
"Celtis australis","41,5454056938539","2,43569735301093","POINT (2.43569735301093 41.5454056938539)"
"Celtis australis","41,5453647081898","2,43575258999953","POINT (2.43575258999953 41.5453647081898)"
"Jacaranda mimosifolia","41,545235121113","2,4359435290952","POINT (2.4359435290952 41.545235121113)"
"Celtis australis","41,5452801191946","2,43588016684184","POINT (2.43588016684184 41.5452801191946)"
"Celtis australis","41,5453237576896","2,43581501828157","POINT (2.43581501828157 41.5453237576896)"
"Celtis australis","41,5455710258212","2,4356586393506","POINT (2.4356586393506 41.5455710258212)"
"Celtis australis","41,5455259816889","2,43572539460571","POINT (2.43572539460571 41.5455259816889)"
"Prunus cerasifera","41,5433058110033","2,43527487164305","POINT (2.43527487164305 41.5433058110033)"
"Prunus cerasifera","41,5432314821885","2,43517767254675","POINT (2.43517767254675 41.5432314821885)"
"Prunus cerasifera","41,5431531366067","2,43508770006002","POINT (2.43508770006002 41.5431531366067)"
"Prunus cerasifera","41,5430734050745","2,43499054855399","POINT (2.43499054855399 41.5430734050745)"
"Prunus cerasifera","41,5429990847648","2,4348951479078","POINT (2.4348951479078 41.5429990847648)"
"Platanus hispanica  (X) ´Acerifolia´","41,5258999523753","2,42985357381073","POINT (2.42985357381073 41.5258999523753)"
"Platanus hispanica  (X) ´Acerifolia´","41,52584057927","2,42984766037899","POINT (2.42984766037899 41.52584057927)"
"Ulmus pumila","41,5371028108257","2,45042166280845","POINT (2.45042166280845 41.5371028108257)"
"Phoenix dactylifera","41,5369541722796","2,45020436940356","POINT (2.45020436940356 41.5369541722796)"
"Phoenix dactylifera","41,5368055805589","2,44998269945358","POINT (2.44998269945358 41.5368055805589)"
"Ulmus pumila","41,5367260066795","2,44987454440788","POINT (2.44987454440788 41.5367260066795)"
"Phoenix dactylifera","41,5366493774158","2,44975379515377","POINT (2.44975379515377 41.5366493774158)"
"Platanus hispanica  (X) ´Acerifolia´","41,5417672961194","2,45732432069239","POINT (2.45732432069239 41.5417672961194)"
"Platanus hispanica  (X) ´Acerifolia´","41,5362102723144","2,42328208813227","POINT (2.42328208813227 41.5362102723144)"
"Liquidambar styraciflua","41,5384006028586","2,42664226571604","POINT (2.42664226571604 41.5384006028586)"
"Platanus hispanica  (X) ´Acerifolia´","41,5417775569711","2,45738595180285","POINT (2.45738595180285 41.5417775569711)"
"Phoenix dactylifera","41,5411226224133","2,45636716635715","POINT (2.45636716635715 41.5411226224133)"
"Phoenix dactylifera","41,541063378886","2,45638636489603","POINT (2.45638636489603 41.541063378886)"
"Phoenix dactylifera","41,5410502771403","2,45642537040849","POINT (2.45642537040849 41.5410502771403)"
"Phoenix canariensis","41,5410923504102","2,45642188163693","POINT (2.45642188163693 41.5410923504102)"
