NOM,ADRECA,CATEGORIA,TIPUS,WKT,LAT,LNG
"New Hotel Colón","Carrer de Cristòfor Colom, 6. 08301 Mataró (BARCELONA)","Allotjament","Hotels","POINT (2.44891184021435 41.5376461468051)","41,5376461468051","2,44891184021435"
"Hotel Ibis","Carrer de Tordera, 2. 08302 Mataró (BARCELONA)","Allotjament","Hotels","POINT (2.43348658577915 41.5276987230152)","41,5276987230152","2,43348658577915"
"Hotel Atenea Port Mataró","Passeig Marítim, 324. 08302 Mataró (BARCELONA)","Allotjament","Hotels","POINT (2.44353967989795 41.5306433976262)","41,5306433976262","2,44353967989795"
"Pensió Sant Antoni","Carrer de Sant Antoni, 37. 08301 Mataró (BARCELONA)","Allotjament","Pensions","POINT (2.44714528693786 41.537080518077)","41,537080518077","2,44714528693786"
"Direcció de Serveis Econòmics","Carrer El Carreró, 15. 08301 Mataró (BARCELONA)","Administració municipal","Àrea de Serveis Centrals, Ocupació i Promoció Econòmica","POINT (2.44522582356204 41.5400580336859)","41,5400580336859","2,44522582356204"
"Servei de Promoció de Ciutat i Comerç","Carrer de Francisco d'Herrera, 70. 08301 Mataró (BARCELONA)","Administració municipal","Àrea de Serveis Centrals, Ocupació i Promoció Econòmica","POINT (2.4534685785051 41.5435980128725)","41,5435980128725","2,4534685785051"
"Jutjat del Penal núm.1","Plaça de Francisco Tomás y Valiente, 1. 08302 Mataró (BARCELONA)","Justícia","Jutjats","POINT (2.43955782513172 41.5327786609702)","41,5327786609702","2,43955782513172"
"Camp Municipal de Futbol de la Llàntia","Carrer de Blanes, 70. Mataró (BARCELONA)","Esports","Camps esportius municipals","POINT (2.42691076338725 41.5497579753109)","41,5497579753109","2,42691076338725"
"Serveis Funeraris Cabré Junqueras, S.A","Carrer d'Aristòtil, 37. 08304 Mataró (BARCELONA)","Serveis funeraris","Tanatoris","POINT (2.43416131905513 41.5517315383118)","41,5517315383118","2,43416131905513"
"Lavabo públic - Parc Central","","Lavabos públics","Lavabo no adaptat","POINT (2.44192101963203 41.5459057122523)","41,5459057122523","2,44192101963203"
"Il·lustre Col·legi d'Advocats de Mataró","Carrer de Casto Méndez Núñez, 38. 08302 Mataró (BARCELONA)","Organismes externs","Jutjats","POINT (2.43985479863747 41.532507581163)","41,532507581163","2,43985479863747"
"Club de Tenis Les Sureres","Carrer del Riu Ter, 6. 08304 Mataró (BARCELONA)","Esports","Centres esportius","POINT (2.43286819203615 41.561389822598)","41,561389822598","2,43286819203615"
"Club de Tenis Mataró","Carrer del Tennis, 19. 08304 Mataró (BARCELONA)","Esports","Centres esportius","POINT (2.4603012247441 41.5552166956595)","41,5552166956595","2,4603012247441"
"Casal Municipal de la Gent Gran de Cerdanyola","Avinguda de la Gatassa, 52. 08303 Mataró (BARCELONA)","Casals","Casals per a la gent gran","POINT (2.42838842212477 41.5375804396233)","41,5375804396233","2,42838842212477"
"Casal Municipal de la Gent Gran Oriol Batista","Carrer del Pla de Bages, 49. Mataró (BARCELONA)","Casals","Casals per a la gent gran","POINT (2.42398942328958 41.542070988593)","41,542070988593","2,42398942328958"
"Centre de Recursos Pedagògics (CRP) del Maresme I","Carrer d'Onofre Arnau, 32. 08301 Mataró (BARCELONA)","Educació","Altres -oficines d'educació-","POINT (2.44497665220719 41.5427254426021)","41,5427254426021","2,44497665220719"
"OTG - Oficina de Treball - Mataró I -Rondes","Carrer de Javier Castaños, 55. 08302 Mataró (BARCELONA)","Oficines de la Generalitat de Catalunya","Oficines de Treball","POINT (2.43909589262581 41.5348231018327)","41,5348231018327","2,43909589262581"
"Centre Social Carretera de Cirera","Carretera de Cirera, 33. 08304 Mataró (BARCELONA)","Centres Cívics i Socials","Centres Socials","POINT (2.43555060887695 41.5497548906508)","41,5497548906508","2,43555060887695"
"Plaça de Cuba","Plaça de Cuba, 41. 08302 Mataró (BARCELONA)","","","POINT (2.44094902879145 41.5372405902775)","41,5372405902775","2,44094902879145"
"Tecnocampus","Avinguda d'Ernest Lluch, 46. 08302 Mataró (BARCELONA)","","","POINT (2.43515464142489 41.5280172005971)","41,5280172005971","2,43515464142489"
"Centre de Dia Mediterrània","Carrer del Riu Francolí, 9. 08304 Mataró (BARCELONA)","Serveis socials","Centres residencials per a gent gran","POINT (2.43430385068059 41.563558998593)","41,563558998593","2,43430385068059"
"Avis","Ronda de Francesc Macià, 5. 08302 Mataró (BARCELONA)","Mobilitat","Lloguer de vehicles","POINT (2.43818840839406 41.532892621721)","41,532892621721","2,43818840839406"
"Testimonis Cristians de Jehovà","Camí dels Caputxins, 43. 08304 Mataró (BARCELONA)","Serveis religiosos","Testimonis Cristians de Jehovà","POINT (2.44478963528964 41.5501066494625)","41,5501066494625","2,44478963528964"
"Centre Atlètic Laietàina","Torrent de la Llebreta, 21. 08304 Mataró (BARCELONA)","Esports","Centres esportius","POINT (2.43990503369063 41.5716945001824)","41,5716945001824","2,43990503369063"
"Servei 010","Avinguda d'Ernest Lluch, 32. 08302 Mataró (BARCELONA)","Administració municipal","Àrea de Serveis Centrals, Ocupació i Promoció Econòmica","POINT (2.43468298017362 41.5283283221368)","41,5283283221368","2,43468298017362"
"Lavabo públic - Platja del Varador ","","Lavabos públics","Lavabo adaptat","POINT (2.4475783875505 41.5340821017173)","41,5340821017173","2,4475783875505"
"Diagonal de Áreas (Ballenoil)","Ronda dels Països Catalans, 15. 08304 Mataró (BARCELONA)","Mobilitat","Benzineres","POINT (2.43789967188093 41.5535838808932)","41,5535838808932","2,43789967188093"
"Parada de taxi - Camí Ral","","Mobilitat","Parada de taxi","POINT (2.43703232730189 41.5313593840575)","41,5313593840575","2,43703232730189"
"Parada de taxi - Camí del Mig","","Mobilitat","Parada de taxi","POINT (2.43031329135582 41.5362870291296)","41,5362870291296","2,43031329135582"
"Parada de taxi - Carrer de Cosme Churruca","","Mobilitat","Parada de taxi","POINT (2.44497010631578 41.5337929420686)","41,5337929420686","2,44497010631578"
"AUTONET&OIL","Carrer de Pablo Iglesias, 1. 08302 Mataró (BARCELONA)","Mobilitat","Benzineres","POINT (2.42915597107523 41.5357238944195)","41,5357238944195","2,42915597107523"
"Fundació Hospital Sant Jaume i Santa Magdalena","Carrer de Sant Pelegrí, 3. 08301 Mataró (BARCELONA)","Administració municipal","Àrea d'Acció Social","POINT (2.44937732291866 41.5401155652418)","41,5401155652418","2,44937732291866"
"Salesians Sant Jordi - Plataforma d'Educació Social","Avinguda de Josep Puig i Cadafalch, 80. 08303 Mataró (BARCELONA)","Educació","Programes de Qualificació Professional Inicial (PQPI)","POINT (2.4297679293182 41.5403106449663)","41,5403106449663","2,4297679293182"
"Centre Social Plaça de Vista Alegre","Plaça de Vista Alegre, 5. 08304 Mataró (BARCELONA)","Centres Cívics i Socials","Centres Socials","POINT (2.44583202875089 41.5520344883984)","41,5520344883984","2,44583202875089"
"Servei d'Intervenció Especialitzada (SIE)","Carrer de Cosme Churruca, 88. 08301 Mataró (BARCELONA)","Serveis socials","Oficines de Serveis socials","POINT (2.44470852961255 41.5339304290229)","41,5339304290229","2,44470852961255"
"Naturfarma","Camí Ral, 123. 08301 Mataró (BARCELONA)","Serveis sanitaris","Farmàcies","POINT (2.45234849110276 41.5406119888088)","41,5406119888088","2,45234849110276"
"Farmàcia Europea","Via d'Europa, 92. 08304 Mataró (BARCELONA)","Serveis sanitaris","Farmàcies","POINT (2.43274825736998 41.5440182053096)","41,5440182053096","2,43274825736998"
"Farmàcia Els jutjats","Ronda de Francesc Macià, 1. 08302 Mataró (BARCELONA)","Serveis sanitaris","Farmàcies","POINT (2.43831647128796 41.5326675979185)","41,5326675979185","2,43831647128796"
"Lavabo públic - Parc de Cerdanyola","Avinguda de la Gatassa, 130. 08303 Mataró (BARCELONA)","Lavabos públics","Lavabo adaptat","POINT (2.42613163822766 41.5394893043275)","41,5394893043275","2,42613163822766"
"Farmàcia Esteve Albert 43","Carrer d'Esteve Albert, 43. 08304 Mataró (BARCELONA)","Serveis sanitaris","Farmàcies","POINT (2.43505965127654 41.5445123558014)","41,5445123558014","2,43505965127654"
"Oficina Mataró Empresa","Avinguda d'Ernest Lluch, 32. 08302 Mataró (BARCELONA)","Administració municipal","Empresa municipal","POINT (2.43468298017362 41.5283283221368)","41,5283283221368","2,43468298017362"
"Parada de taxi - Carrer de Tordera","","Mobilitat","Parada de taxi","POINT (2.43348548868067 41.527770514447)","41,527770514447","2,43348548868067"
