CODI_INTERN,TIPUS_OCUPACIO,DATA_INICI,DATA_FI,DURADA,LAT,LNG,WKT
"5120700921978097107130","MUDANÇA","19/04/2018","19/04/2018","1","41.5330236057237","2.4366836511975","POINT (2.4366836511975 41.5330236057237)"
"5120700922157484107130","","24/04/2018","24/04/2018","1","41.5474745743958","2.44093480026839","POINT (2.44093480026839 41.5474745743958)"
"5120700922622124107130","ACTES DIVERSOS AL CARRER","08/06/2018","09/06/2018","2","41.5418176092029","2.44343942274527","POINT (2.44343942274527 41.5418176092029)"
"5120700922801194607130","OBRES","28/05/2018","01/06/2018","5","41.5371100569112","2.44888988916955","POINT (2.44888988916955 41.5371100569112)"
"5120700923140315607130","ACTES CULTURALS","30/06/2018","30/06/2018","1","41.5465428456047","2.45181520912815","POINT (2.45181520912815 41.5465428456047)"
"5120700923511391107130","CONTENIDOR DE RUNA","02/07/2018","02/07/2018","1","41.5360956533393","2.42910885558062","POINT (2.42910885558062 41.5360956533393)"
"5120700923564989607130","SAC DE RUNA","05/07/2018","06/07/2018","2","41.5540532541372","2.4399688631065","POINT (2.4399688631065 41.5540532541372)"
"5120700923580146107130","RESERVES D' ESTACIONAMENT","09/07/2018","09/07/2019","365","41.5371435760314","2.44657113150333","POINT (2.44657113150333 41.5371435760314)"
"5120700923870991107130","OBRES","10/07/2018","10/07/2018","1","41.5352589936767","2.43856086893755","POINT (2.43856086893755 41.5352589936767)"
"5120700924885836607130","RESERVES D' ESTACIONAMENT","17/07/2018","17/07/2018","1","41.5433982527556","2.44289681638084","POINT (2.44289681638084 41.5433982527556)"
"5120700924887236607130","ACTES DIVERSOS AL CARRER","22/09/2018","22/09/2018","1","41.5430695296142","2.43810761086046","POINT (2.43810761086046 41.5430695296142)"
"5120700925018094107130","CÀRREGA I DESCÀRREGA DE MATERIALS","25/07/2018","25/07/2018","1","41.5497627269776","2.45164093076247","POINT (2.45164093076247 41.5497627269776)"
"5120700926228041107130","CONTENIDOR DE RUNA","19/09/2018","24/09/2018","6","41.5424559248875","2.43438065656937","POINT (2.43438065656937 41.5424559248875)"
"5120700926275828607130","MUDANÇA","26/09/2018","26/09/2018","1","41.5496780446578","2.43546795368596","POINT (2.43546795368596 41.5496780446578)"
"5120700926372729607130","MUDANÇA","18/10/2018","18/10/2018","1","41.5373816351345","2.44931298400461","POINT (2.44931298400461 41.5373816351345)"
"5120700926374645607130","ACTES CULTURALS","22/10/2018","22/04/2019","183","41.5395434528679","2.42456892373591","POINT (2.42456892373591 41.5395434528679)"
"5120700926374747107130","OBRES","02/10/2018","02/10/2018","1","41.5408811319452","2.44079923100767","POINT (2.44079923100767 41.5408811319452)"
"5120700926419990107130","RESERVES D' ESTACIONAMENT","04/10/2018","13/11/2018","41","41.5513774541058","2.44654018587274","POINT (2.44654018587274 41.5513774541058)"
"5120700926452995107130","NETEJES ESPECIALS","02/10/2018","02/10/2018","1","41.5472383935887","2.44180996527412","POINT (2.44180996527412 41.5472383935887)"
