ZONA,CODI_US,DESCRIPCIO_US,LAT,LNG,WKT
"Usos Sòl","INT","Interior","41,5414732508739","2,42356961213904","POINT (2.42356961213904 41.5414732508739)"
"Usos Sòl","VIA","Vials","41,5440834899976","2,45867234256153","POINT (2.45867234256153 41.5440834899976)"
"Usos Sòl","INT","Interior","41,5642716268476","2,43323206636074","POINT (2.43323206636074 41.5642716268476)"
"Usos Sòl","INT","Interior","41,5649266241214","2,43352521101958","POINT (2.43352521101958 41.5649266241214)"
"Usos Sòl","FONS","Fons","41,576838814298","2,45873016647471","POINT (2.45873016647471 41.576838814298)"
"Usos Sòl","FONS","Fons","41,5642982766778","2,46248170539108","POINT (2.46248170539108 41.5642982766778)"
"Usos Sòl","FONS","Fons","41,5699631843559","2,45677984683374","POINT (2.45677984683374 41.5699631843559)"
"Usos Sòl","INT","Interior","41,5620501134651","2,46495554632993","POINT (2.46495554632993 41.5620501134651)"
"Usos Sòl","INT","Interior","41,5580421221436","2,46680885511457","POINT (2.46680885511457 41.5580421221436)"
"Usos Sòl","INT","Interior","41,5507731030007","2,4833170722931","POINT (2.4833170722931 41.5507731030007)"
"Usos Sòl","INT","Interior","41,5510336493498","2,48178936426947","POINT (2.48178936426947 41.5510336493498)"
"Usos Sòl","INT","Interior","41,5517123722796","2,48157707219759","POINT (2.48157707219759 41.5517123722796)"
"Usos Sòl","INT","Interior","41,5517264363497","2,48172388989027","POINT (2.48172388989027 41.5517264363497)"
"Usos Sòl","INT","Interior","41,5517875378204","2,48161806773961","POINT (2.48161806773961 41.5517875378204)"
"Usos Sòl","INT","Interior","41,5518154283126","2,48170895756133","POINT (2.48170895756133 41.5518154283126)"
"Usos Sòl","INT","Interior","41,551814747268","2,48188576860546","POINT (2.48188576860546 41.551814747268)"
"Usos Sòl","INT","Interior","41,551894913473","2,48181811704706","POINT (2.48181811704706 41.551894913473)"
"Usos Sòl","FONS","Fons","41,5334855315297","2,42107680440965","POINT (2.42107680440965 41.5334855315297)"
"Usos Sòl","TR","Transit Reduït","41,5374593975271","2,42778195043167","POINT (2.42778195043167 41.5374593975271)"
"Usos Sòl","ZV","Zona Verda","41,5372036047133","2,4274597446209","POINT (2.4274597446209 41.5372036047133)"
"Usos Sòl","ECAT","Edifici Catalogat","41,5349172031192","2,44640748958022","POINT (2.44640748958022 41.5349172031192)"
"Usos Sòl","ZVP","Zona Verda en Projecte","41,5345832763174","2,44629296033369","POINT (2.44629296033369 41.5345832763174)"
"Usos Sòl","ECAT","Edifici Catalogat","41,534615406945","2,44647975001849","POINT (2.44647975001849 41.534615406945)"
"Usos Sòl","INT","Interior","41,565146221785","2,43421776581774","POINT (2.43421776581774 41.565146221785)"
"Usos Sòl","ZV","Zona Verda","41,5658366493107","2,43406814926582","POINT (2.43406814926582 41.5658366493107)"
"Usos Sòl","INT","Interior","41,5616665667813","2,46449112579435","POINT (2.46449112579435 41.5616665667813)"
"Usos Sòl","INT","Interior","41,5622598889878","2,46402512529437","POINT (2.46402512529437 41.5622598889878)"
"Usos Sòl","INT","Interior","41,562456409333","2,46366442476631","POINT (2.46366442476631 41.562456409333)"
"Usos Sòl","INT","Interior","41,5626793776291","2,46330719155523","POINT (2.46330719155523 41.5626793776291)"
"Usos Sòl","INT","Interior","41,5518395411826","2,48151409277422","POINT (2.48151409277422 41.5518395411826)"
"Usos Sòl","INT","Interior","41,5519256143105","2,4815730354523","POINT (2.4815730354523 41.5519256143105)"
"Usos Sòl","INT","Interior","41,5519623172321","2,48172165721153","POINT (2.48172165721153 41.5519623172321)"
"Usos Sòl","INT","Interior","41,5520143599059","2,48162338940618","POINT (2.48162338940618 41.5520143599059)"
"Usos Sòl","INT","Interior","41,5516103193822","2,48310950728364","POINT (2.48310950728364 41.5516103193822)"
"Usos Sòl","INT","Interior","41,5522849001092","2,48259336473019","POINT (2.48259336473019 41.5522849001092)"
"Usos Sòl","INT","Interior","41,5528087962906","2,48178376715684","POINT (2.48178376715684 41.5528087962906)"
"Usos Sòl","INT","Interior","41,5527468101016","2,4849451916521","POINT (2.4849451916521 41.5527468101016)"
"Usos Sòl","INT","Interior","41,5550282424299","2,48284120819536","POINT (2.48284120819536 41.5550282424299)"
"Usos Sòl","INT","Interior","41,5351049660557","2,44566543632164","POINT (2.44566543632164 41.5351049660557)"
"Usos Sòl","PREVIST","Espais Nous","41,5348681080296","2,44597807952024","POINT (2.44597807952024 41.5348681080296)"
