ZONA,AREA,PERIMETRE,AMPLADA,ALCADA,LAT,LNG,WKT
"Càrrega i Descàrrega","35,26691","34,02649","14,59725","2,416","41,5319009122739","2,4391608958784","POLYGON ((2.43911236277548 41.5318451441164, 2.43923075348477 41.5319419565265, 2.43920942906438 41.5319566804108, 2.43909103836053 41.5318598679791, 2.43911236277548 41.5318451441164))"
"Càrrega i Descàrrega","33,34198","31,51836","13,24112","2,51806","41,5414964192047","2,45268728154686","POLYGON ((2.45261957501875 41.5414632982293, 2.45276644387113 41.5415085562322, 2.45275498814424 41.5415295401406, 2.45260811925267 41.541484282123, 2.45261957501875 41.5414632982293))"
"Càrrega i Descàrrega","45,31877","38,79382","16,67995","2,71696","41,5403979042445","2,43753961215413","POLYGON ((2.43747722569234 41.540457867237, 2.43757344516077 41.5403261658948, 2.4376019985004 41.540337941217, 2.43750577907191 41.5404696425829, 2.43747722569234 41.540457867237))"
"Càrrega i Descàrrega","34,56","33,6","2,4","14,4","41,5492137081618","2,4412198252477","POLYGON ((2.44113232096818 41.5492125005185, 2.44113757232386 41.5491912466006, 2.4413073295312 41.5492149157384, 2.44130207822903 41.5492361696643, 2.44113232096818 41.5492125005185))"
"Càrrega i Descàrrega",",36","2,6",",9",",4","41,5427292839159","2,42490279942727","POLYGON ((2.42490251641569 41.5427248535601, 2.42490736624475 41.5427320948877, 2.42490308243888 41.5427337142718, 2.42489823261018 41.5427264729439, 2.42490251641569 41.5427248535601))"
"Càrrega i Descàrrega",",36","2,6",",9",",4","41,5427377856793","2,42488030944442","POLYGON ((2.42488002643436 41.5427333553234, 2.42488487626151 41.542740596652, 2.42488059245452 41.5427422160351, 2.42487574262773 41.5427349747063, 2.42488002643436 41.5427333553234))"
"Càrrega i Descàrrega","42,27108","36,71861","2,6993","15,66","41,5413457440304","2,45553160238239","POLYGON ((2.45543704169481 41.5413371189475, 2.4554463420535 41.5413138318392, 2.45562616309592 41.5413543690357, 2.45561686279562 41.5413776561587, 2.45543704169481 41.5413371189475))"
"Càrrega i Descàrrega","45,03378","38,77435","2,69846","16,68872","41,5374306059042","2,43312755784944","POLYGON ((2.43311119990948 41.5375057416227, 2.43308051835582 41.5374980395818, 2.43314391575059 41.5373554701822, 2.43317459724475 41.5373631722061, 2.43311119990948 41.5375057416227))"
"Càrrega i Descàrrega","37,44383","34,75844","14,85933","2,51989","41,5407887469361","2,42247527425317","POLYGON ((2.42238535615883 41.5407953138502, 2.42255728343173 41.5407602748406, 2.4225651923301 41.5407821799516, 2.42239326500317 41.5408172189726, 2.42238535615883 41.5407953138502))"
"Càrrega i Descàrrega","15,9649","17,97625","6,55117","2,43695","41,5305944195102","2,43764367953941","POLYGON ((2.4376597542965 41.5306234883626, 2.43760623061854 41.5305803117191, 2.43762760479659 41.5305653506554, 2.43768112847665 41.5306085272891, 2.4376597542965 41.5306234883626))"
"Càrrega i Descàrrega","39,43109","35,82185","15,34054","2,57038","41,5510189676135","2,4347387337987","POLYGON ((2.43465270874419 41.5510460053932, 2.4348083280879 41.5509723426484, 2.4348247587821 41.5509919297688, 2.43466913940958 41.5510655925353, 2.43465270874419 41.5510460053932))"
"Càrrega i Descàrrega","30,7227","26,72924","10,41468","2,94994","41,5378227905754","2,43069460460163","POLYGON ((2.43063133279802 41.5378335803484, 2.43074094680386 41.537788673022, 2.43075787638457 41.5378120007674, 2.43064826235069 41.5378569081097, 2.43063133279802 41.5378335803484))"
