ZONA,AREA,PERIMETRE,AMPLADA,ALCADA,LAT,LNG,WKT
"Zona blava","13,59785","16,05328","5,59726","2,42937","41,5407707806489","2,44103903059678","POLYGON ((2.44100881647394 41.540755294118, 2.44107472232148 41.5407647759164, 2.44106924473412 41.5407862671719, 2.44100333886564 41.5407767853703, 2.44100881647394 41.540755294118))"
"Zona blava","212,28229","90,62765","40,0078","5,30602","41,5378874398122","2,44153744590489","POLYGON ((2.44171038356937 41.537760349627, 2.44141457763951 41.5380440058897, 2.44136450756339 41.5380145297301, 2.44166031357488 41.5377308735953, 2.44171038356937 41.537760349627))"
"Zona blava","2,04477","11,02386","5,11193",",4","41,5378335471343","2,44179320497374","POLYGON ((2.44177340575421 41.5378158847492, 2.44181641971581 41.5378486806622, 2.44181300420401 41.537851209516, 2.44176999024251 41.5378184136018, 2.44177340575421 41.5378158847492))"
"Zona blava","125,83243","88,28721","41,08054","3,06307","41,5407616420738","2,44279314221241","POLYGON ((2.44281189087396 41.540576654722, 2.44281111535251 41.5409466728668, 2.44277439343823 41.5409466294158, 2.442775169169 41.5405766112726, 2.44281189087396 41.540576654722))"
"Zona blava","35,351","41,65578","18,96375","1,86414","41,5404288029632","2,44277320904971","POLYGON ((2.44276926192442 41.5405145680445, 2.44275485288188 41.5403441020483, 2.44277715616334 41.5403430378805, 2.44279156526427 41.5405135038743, 2.44276926192442 41.5405145680445))"
"Zona blava","192,61695","143,42737","68,91885","2,79484","41,54154659368","2,4431621041493","POLYGON ((2.44350561056358 41.5417194852805, 2.44280109387029 41.5413951656503, 2.44281859957123 41.5413737010596, 2.44352311612135 41.5416980205828, 2.44350561056358 41.5417194852805))"
"Zona blava","69,23404","65,63025","30,54878","2,26634","41,5406001338203","2,43810716823184","POLYGON ((2.43792458083708 41.5405855159666, 2.4382906278271 41.5405943486103, 2.43828975571204 41.5406147513846, 2.43792370860714 41.5406059187374, 2.43792458083708 41.5405855159666))"
"Zona blava","81,22742","84,74249","40,3586","2,01264","41,5338066346341","2,44104817080729","POLYGON ((2.44087380249036 41.5339329369811, 2.4412049498199 41.5336679235774, 2.4412225384462 41.5336803320156, 2.44089139112405 41.5339453454694, 2.44087380249036 41.5339329369811))"
"Zona blava",",33647","2,48234",",84117",",4","41,5364098621885","2,4492061756852","POLYGON ((2.44920847110914 41.5364136860077, 2.44920077944587 41.5364087865537, 2.44920388026154 41.5364060383691, 2.44921157192473 41.5364109378229, 2.44920847110914 41.5364136860077))"
"Zona blava","54,08457","49,6402","22,40629","2,41381","41,536082677131","2,43846360693499","POLYGON ((2.4383761960191 41.5360053004655, 2.43857094609077 41.5361442898686, 2.43855101805895 41.5361600537304, 2.43835626798341 41.5360210642939, 2.4383761960191 41.5360053004655))"
"Zona blava","43,45778","40,84","18,00656","2,41344","41,5362900612971","2,43875203616558","POLYGON ((2.43882033643957 41.5363537857082, 2.43866381299639 41.5362420996911, 2.43868373602542 41.5362263368456, 2.43884025946547 41.5363380228359, 2.43882033643957 41.5363537857082))"
"Zona blava","91,68714","74,55937","34,63223","2,64745","41,5358312502308","2,4471446926598","POLYGON ((2.44698717761231 41.5359335311946, 2.44727968555371 41.5357121679744, 2.44730220721156 41.5357289690463, 2.44700969927002 41.5359503323231, 2.44698717761231 41.5359335311946))"
"Zona blava","2,64578","7,1166","2,49998","1,05832","41,5359629707215","2,44697093976948","POLYGON ((2.4469647530548 41.5359516627389, 2.44698605174772 41.5359675040734, 2.44697712648629 41.5359742787038, 2.44695582779338 41.5359584373676, 2.4469647530548 41.5359516627389))"
"Zona blava",",15608","1,5803",",39508",",39508","41,5367057411565","2,4317969863873","POLYGON ((2.43179970861097 41.5367042755659, 2.43179893697715 41.53670778652, 2.4317942641635 41.5367072067469, 2.43179503579756 41.5367036957929, 2.43179970861097 41.5367042755659))"
"Zona blava","0","0","0","0","41,5363604899712","2,447292902119","POLYGON ((2.44707272680944 41.5362460492482, 2.44709019739912 41.5362270094691, 2.44729704002637 41.536332964162, 2.44734193898472 41.5363615326914, 2.44738204436186 41.5363967825868, 2.44741884268095 41.5364323656585, 2.44748877174218 41.5364999013258, 2.44746476914096 41.5365139365346, 2.44735804671726 41.5364108407462, 2.44728277542431 41.5363538499115, 2.44711146605042 41.5362657134517, 2.44711146605042 41.5362657134517, 2.44707272680944 41.5362460492482))"
"Zona blava","0","0","0","0","41,5356665931217","2,44112376783973","POLYGON ((2.4410290885359 41.5356066252765, 2.44102030555814 41.5355996128625, 2.44104126203607 41.5355847944739, 2.44122677487304 41.5357328971147, 2.44120539089784 41.5357480269398, 2.4410290885359 41.5356066252765))"
"Zona blava","0","0","0","0","41,5359205034848","2,44144086595292","POLYGON ((2.44151130051006 41.535960625976, 2.44149035381993 41.5359754464528, 2.44137043132668 41.5358803849446, 2.44139138980935 41.5358655650841, 2.44151130051006 41.535960625976, 2.44151130051006 41.535960625976))"
"Zona blava","0","0","0","0","41,5356785391919","2,44078637928332","POLYGON ((2.44071915590394 41.5357295857508, 2.44082802127817 41.5356134603352, 2.44085427288872 41.5356257185059, 2.4407457239891 41.5357434888646, 2.44071915590394 41.5357295857508))"
"Zona blava","0","0","0","0","41,5358597414173","2,44061376792507","POLYGON ((2.44056670883834 41.5358916538869, 2.44063837854416 41.5358149177654, 2.44066082788123 41.5358268919637, 2.44059035460818 41.5359042093617, 2.44056670883834 41.5358916538869))"
"Zona blava","0","0","0","0","41,5372474548749","2,43929772840266","POLYGON ((2.43923197247887 41.5372988048834, 2.43933896567925 41.5371842784902, 2.43936329219965 41.5371961444654, 2.43925709416039 41.5373102149924, 2.43923197247887 41.5372988048834))"
"Zona blava","0","0","0","0","41,5378218480142","2,4387544975598","POLYGON ((2.43868876750766 41.5378731733889, 2.43879569176406 41.537758723731, 2.43882007238919 41.5377705047629, 2.43871388931359 41.5378845836162, 2.43868876750766 41.5378731733889))"
"Zona blava","0","0","0","0","41,5375807902513","2,43898069325076","POLYGON ((2.43887099929436 41.5376789570973, 2.4390660134867 41.5374706219541, 2.43909031073984 41.5374825334109, 2.43889612105799 41.537690367285, 2.43887099929436 41.5376789570973))"
